# icr-intercell cell line name dictionary v0.2		
#		
# jamesc@icr.ac.uk, 13th May 2014"		
#		
# This file is used as a dictionary to standardise cell line names in different data sets		
# Cell line names found in the first column (cell_line_name) should be converted to those		
# given in the second column (intercell_name).		
#		
# cell line name sources used:		
#		COSMIC CLP (http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/download -> CosmicCLP_CompleteExport_v68.tsv.gz)
#		CCLE (http://www.broadinstitute.org/ccle/data/browseData -> registration required -> CCLE_sample_info_file_2012-10-18.txt)
#		Intercell (http://www.ncbi.nlm.nih.gov/pubmed/21984977)
#		
# The cell line names used in the Intercell analysis attempt to follow the CCLE naming convention. The CCLE nameing convention comprises		
# the cell line name (containing only numbers and upper case letters) followed by an underscore, followed by the tissue in upper case."		
# Where a cell line was not present in the CCLE data, a best effort was made to use the tissue type as given by the CCLE."		
#		
# Changes:		
# v0.2 - changed 'PANCREAS' to 'PANCREAS' for the Biankin lines (TKCC*)		
# 8th Jan 2015 - added ovarian lines such as TOV21G (in house names)		
#		
#cell_line_name	intercell_name	source
5	5_UNKOWN	cosmic_clp
29	29_UNKOWN	cosmic_clp
77	77_UNKOWN	cosmic_clp
277	277_UNKOWN	cosmic_clp
697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
697	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
5637	5637_URINARY_TRACT	cosmic_clp
5637	5637_URINARY_TRACT	gdsc_en_input
50474	50474_UNKOWN	cosmic_clp
4012401	4012401_UNKOWN	cosmic_clp
1321N1_CENTRAL_NERVOUS_SYSTEM	1321N1_CENTRAL_NERVOUS_SYSTEM	CCLE
143B_BONE	143B_BONE	CCLE
143B_BONE	143B_BONE	intercell
201T	201T_NS	cosmic_clp
22RV1	22RV1_PROSTATE	cosmic_clp
22RV1	22RV1_PROSTATE	gdsc_en_input
22RV1_PROSTATE	22RV1_PROSTATE	CCLE
23132-87	2313287_STOMACH	cosmic_clp
23132-87	2313287_STOMACH	gdsc_en_input
2313287_STOMACH	2313287_STOMACH	CCLE
253J_URINARY_TRACT	253J_URINARY_TRACT	CCLE
253JBV_URINARY_TRACT	253JBV_URINARY_TRACT	CCLE
42-MG-BA	42MGBA_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA_CENTRAL_NERVOUS_SYSTEM	CCLE
451Lu	451LU_NS	cosmic_clp
5637_URINARY_TRACT	5637_URINARY_TRACT	CCLE
59M_OVARY	59M_OVARY	CCLE
639-V	639V_URINARY_TRACT	cosmic_clp
639-V	639V_URINARY_TRACT	gdsc_en_input
639V_URINARY_TRACT	639V_URINARY_TRACT	CCLE
647-V	647V_URINARY_TRACT	cosmic_clp
647-V	647V_URINARY_TRACT	gdsc_en_input
647V_URINARY_TRACT	647V_URINARY_TRACT	CCLE
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
769-P	769P_KIDNEY	cosmic_clp
769P_KIDNEY	769P_KIDNEY	CCLE
786-0	786O_KIDNEY	cosmic_clp
786-0	786O_KIDNEY	gdsc_en_input
7860_KIDNEY	786O_KIDNEY	other
786O_KIDNEY	786O_KIDNEY	CCLE
8-MG-BA	8MGBA_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
8-MG-BA	8MGBA_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
8305C	8305C_THYROID	cosmic_clp
8305C_THYROID	8305C_THYROID	CCLE
8505C	8505C_THYROID	cosmic_clp
8505C	8505C_THYROID	gdsc_en_input
8505C_THYROID	8505C_THYROID	CCLE
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	CCLE
93VU_HEADNECK	93VU_HEADNECK	intercell
A101D	A101D_SKIN	cosmic_clp
A101D	A101D_SKIN	gdsc_en_input
